NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Will Barton,Den,G,31.36,5,34.4,71.7,19.9,12.7,6,0.667,38,0.421,28,0.393,0.492,0.503,13.8,5.6,10.1,2.8,12.3,0.8,0.2,2,7,97.4,109.9
,Charles Bassey,Phi,C-F,21.55,3,4.2,8.7,9.2,0,1,0,2,0.5,0,0,0.5,0.41,0.7,1.7,24.5,0.3,11.9,0,0.33,0,6.8,117.3,102.3
,Malik Beasley,Min,G,25.47,6,19.9,41.4,19.3,13,6,0.833,19,0.579,25,0.32,0.523,0.547,8.5,3.3,9.3,0.7,5.6,0.33,0.17,1.17,5.4,98.7,109.1
,Davis Bertans,Dal,F,29.51,13,11.2,23.3,14.3,4.6,11,0.818,0,0,37,0.432,0.649,0.681,4.4,1.2,6.4,0.3,4.2,0.31,0.15,0.15,4.2,133.2,98.6
,Patrick Beverley,Min,G,33.84,6,32.3,67.2,15.6,17,22,0.682,23,0.522,26,0.346,0.52,0.562,11,3.2,5.5,4.8,23.1,1.17,1.17,2,6.8,112.8,102.5
,Khem Birch,Tor,C,29.63,6,10.5,21.9,13.9,15.8,0,0,12,0.5,4,0.5,0.563,0.563,3,1.5,8.7,0.5,7.2,0.17,0.17,0.5,5,108.9,94.8
,Bismack Biyombo,Pho,C,29.71,9,9.5,19.9,13.7,23.4,6,0.5,17,0.647,0,0,0.647,0.636,2.8,2.1,12.9,0.6,8,0.11,0.22,0.67,6.4,113.6,97.9
,Nemanja Bjelica,Gol,F,34.02,7,11.4,23.8,14.5,14.8,7,0.571,15,0.6,5,0.2,0.525,0.542,3.6,1.9,9,1.3,15.1,0.29,0.29,0.57,7.3,110.2,97.6
,Bojan Bogdanovic,Uta,F,33.08,6,35.7,74.4,22.7,11.6,24,0.792,48,0.583,33,0.333,0.549,0.59,18,4.2,6.8,1.7,8.5,0.33,0,2,5.7,110.8,104
,Bogdan Bogdanovic,Atl,G,29.74,4,26.7,55.7,24.7,7,10,0.8,23,0.478,26,0.346,0.5,0.534,14.3,4.8,10.7,3,21.2,0.25,0.25,1,8.8,113.4,106.6
,Isaac Bonga,Tor,G,22.52,1,2.8,5.8,14.6,0,2,1,0,0,0,0,,1.136,2,1,21.9,0,0,0,0,0,0,,
,Devin Booker,Pho,G,25.54,10,36.6,76.2,28.9,13.9,53,0.887,110,0.464,65,0.431,0.531,0.587,23.3,4.8,7.7,4.4,18.7,0.5,0.4,3.2,8.6,109.8,107.9
,Chris Boucher,Tor,F-C,29.34,6,21.6,45.1,17.3,4.1,10,0.9,27,0.741,15,0.4,0.69,0.722,11.2,5.8,16.6,0.2,1.3,0.17,1.17,0.33,4.4,147.5,104.3
,Tony Bradley,Chi,C-F,24.35,2,3.9,8.1,28.1,0,0,0,5,1,0,0,1,1,5,2,25.7,0.5,109.3,0,0,0,17.5,,
,Mikal Bridges,Pho,F,25.71,13,38.5,80.2,14.9,6.8,30,0.933,105,0.505,33,0.394,0.525,0.572,13.3,4.7,7.1,2.8,10.2,1.08,1,0.85,5.8,119.5,107.9
,Armoni Brooks,Tor,G,23.95,4,1.9,4,24.4,0,0,0,0,0,4,0,0,0,0,0.5,16.2,0,0,0,0,0,0,,
,Dillon Brooks,Mem,G-F,26.31,11,30.5,63.5,25.1,10.7,25,0.64,100,0.35,72,0.347,0.422,0.44,14.6,2.7,4.7,2.7,13.8,1,0.27,2,6.2,91.3,104.2
,Troy Brown Jr.,Chi,G-F,22.8,3,12.2,25.4,23.9,15,0,0,6,0.5,11,0.182,0.353,0.353,4,2.7,11,1,13.2,0.67,0,1,7.2,71.3,108.1
,Bruce Brown,Bro,G-F,25.75,4,34.7,72.2,16.7,17.9,10,0.8,23,0.652,14,0.429,0.649,0.676,14,4.8,9,2.8,11.9,1.25,0.75,2.25,6.6,120.2,105.8
,Jaylen Brown,Bos,G-F,25.56,11,37.7,78.6,25.7,13,56,0.768,115,0.548,67,0.373,0.552,0.59,22.2,6.5,9.6,3.8,17.2,1.55,0.55,2.82,8.7,111,102.7
,Sterling Brown,Dal,G-F,27.26,7,2.6,5.5,18.5,0,5,0.6,2,0.5,3,0,0.2,0.347,0.7,0.6,12.6,0.1,7.6,0.29,0.14,0,5.3,,
,Jalen Brunson,Dal,G,25.71,13,35.4,73.8,29.5,5.3,65,0.846,189,0.508,53,0.321,0.502,0.551,22.9,4.6,7.6,3.5,18.8,1,0,1.15,8.1,113.9,107.6
,Reggie Bullock,Dal,G-F,31.17,13,39.3,81.9,10.9,6,13,0.923,14,0.571,90,0.389,0.582,0.606,10.2,5.1,7.5,1.4,5.2,1.46,0.08,0.54,4.3,121.8,105.4
,Trey Burke,Dal,G,29.51,8,3.8,7.8,28.9,5.5,5,1,9,0.444,6,0.333,0.467,0.552,2.4,0.4,5.8,0.3,11.8,0.13,0,0.13,7,,
,Jared Butler,Uta,G,21.72,1,4.7,9.8,20,0,0,0,2,0,0,0,0,0,0,1,12.4,0,0,0,0,0,0,0,113.9
,Jimmy Butler,Mia,F,32.67,10,37.4,78,29.7,6.4,78,0.808,154,0.571,44,0.364,0.566,0.618,28.7,7.5,12.2,5.4,26.8,2.1,0.6,1.6,11.2,128.2,107
,Facundo Campazzo,Den,G,31.15,4,3.4,7,13,50,0,0,0,0,2,0,0,0,0,0.8,13.8,0.5,18.2,0,0,0.5,0,,
,Vlatko Cancar,Den,F,25.1,2,4.3,9,25.3,40,0,0,1,1,2,0.5,0.833,0.833,2.5,1,14.4,0.5,19.8,0,0,1,10,89.2,116
,Clint Capela,Atl,C,28,2,20.2,42.1,8,14.3,0,0,6,0.333,0,0,0.333,0.333,2,7.5,22.4,0,0,0.5,0.5,0.5,0,93.1,108.9
,Jevon Carter,Mil,G,26.67,11,11.4,23.8,8.9,23.2,2,1,12,0.5,7,0.429,0.553,0.578,2.1,1.5,6.5,0.9,10.9,0.73,0,0.55,5,107,102.5
,Alex Caruso,Chi,G,28.21,4,28.4,59.1,9.3,4.2,0,0,5,0.4,18,0.389,0.543,0.543,6.3,2.8,4.9,4.3,22.1,1.25,1,0.25,6,131,106.9
,Marquese Chriss,Dal,F,24.87,6,3.8,8,22,0,6,0.833,6,0.5,2,0.5,0.563,0.658,2.3,1.3,20.2,0,0,0,0,0,0,,
,Brandon Clarke,Mem,F,25.65,12,24.7,51.5,17.4,8.7,54,0.667,90,0.622,1,0,0.615,0.645,12.3,6.9,14.8,2,12.7,0.75,0.83,0.92,9,134.6,105
,Jordan Clarkson,Uta,G,29.94,6,28.4,59.1,25.1,11,18,0.889,49,0.633,24,0.375,0.61,0.649,17.5,3.2,6.5,1.3,9.5,0.5,0.17,1.67,5.9,120.4,105.4
,Nic Claxton,Bro,F-C,23.08,4,24.5,51,16.7,5.6,22,0.182,24,0.792,0,0,0.792,0.624,10.5,6.3,16.7,1.5,9.8,1.25,2.25,0.5,7.6,123.7,107.9
,John Collins,Atl,F-C,24.64,5,24.3,50.7,18.3,10.3,10,0.5,28,0.536,11,0.364,0.538,0.541,9.4,4.6,11.4,1.2,8.8,0.4,0.2,1,6.1,103.3,106.8
,Mike Conley,Uta,G,34.6,6,29,60.4,20.7,17,15,0.8,32,0.438,25,0.2,0.377,0.432,9.2,3.2,6.4,4.8,26.9,0.83,0.33,2.17,7.2,94.8,103.2
,Pat Connaughton,Mil,G,29.36,12,26.5,55.2,13.2,7.2,5,1,24,0.708,64,0.391,0.619,0.632,9.5,4.3,8.2,0.9,5.2,0.42,0.33,0.58,5,120.4,109.9
,DeMarcus Cousins,Den,C,31.76,5,11.4,23.7,32.6,16.4,15,0.733,23,0.652,6,0.667,0.724,0.744,10.6,3.4,18.5,1.2,21.7,0.6,0.2,1.4,12.3,123.2,94.4
,Torrey Craig,Pho,F,31.41,9,7.6,15.9,18,14.9,2,0.5,12,0.417,10,0.3,0.432,0.437,2.2,1.7,12.8,0.6,9.8,0.44,0.22,0.44,6.9,93.1,101.7
,Jae Crowder,Pho,F,31.86,13,29.5,61.4,16.2,14,26,0.731,42,0.548,63,0.302,0.49,0.524,9.4,4.7,9.3,2.4,10.8,1,0.54,1.46,6.4,102.2,99.4
,Jarrett Culver,Mem,G-F,23.23,3,7.4,15.5,23.7,15.5,2,0.5,8,0.375,2,0,0.3,0.322,2.3,2.3,16.6,0.3,6.5,0.67,0,0.67,6.3,70.9,88.7
,Seth Curry,Bro,G,31.73,4,33.1,68.9,15,6.9,3,0.667,16,0.625,23,0.522,0.718,0.719,14.5,2.5,4.9,3,13.9,0.25,0.75,0.75,5.8,139.7,108.7
,Stephen Curry,Gol,G,34.17,11,33.1,69,32.4,10.5,76,0.816,96,0.563,117,0.359,0.549,0.601,26.9,4.2,6.9,5.6,27.9,1.09,0.45,2.64,10.4,117.2,105.4
,Dewayne Dedmon,Mia,C,32.76,10,9.9,20.7,20,11.3,10,0.8,27,0.556,8,0,0.429,0.482,3.8,3.3,20.2,0.4,6.1,0.1,0.2,0.5,6.9,106.7,82.4
,DeMar DeRozan,Chi,G-F,32.77,5,40.7,84.7,25.7,9.2,30,0.867,86,0.453,9,0,0.411,0.481,20.8,5.4,6.7,4.8,20.8,1.8,0.4,2.2,8,98.6,109.9
,Gorgui Dieng,Atl,C,32.32,2,5.2,10.8,10.8,0,1,1,1,1,1,0,0.5,0.615,1.5,1.5,17.4,0,0,0,0,0,0,147.4,118.2
,Spencer Dinwiddie,Dal,G,29.11,13,28,58.3,23.6,10.6,41,0.78,78,0.397,65,0.4,0.49,0.534,13.2,2.8,5.9,3.5,20.8,0.92,0.23,1.46,7.2,109.4,104.1
,Luka Doncic,Dal,F-G,23.21,10,36.1,75.3,40.6,13,78,0.769,139,0.561,95,0.347,0.545,0.587,31.5,10.1,16.2,6.6,40,1.9,0.4,4,14.2,111.3,98
,Ayo Dosunmu,Chi,G,22.33,5,17.1,35.7,15.1,10.2,1,1,13,0.385,13,0.231,0.365,0.378,4,2.6,7.6,2.2,19.3,0.2,0,0.6,6.6,93.9,112.7
,Goran Dragic,Bro,G,36.03,4,19.8,41.3,22,13.2,2,1,20,0.7,12,0.333,0.625,0.639,10.5,4.5,14.8,1.5,12.8,0.75,0,1.25,8.4,119.3,101.2
,Andre Drummond,Bro,C,28.77,4,15,31.2,14.7,31.3,5,0.6,11,0.545,0,0,0.545,0.568,3.8,3,13.1,0.8,7,1.25,0.75,1.5,5.6,89.5,91.6
,Kevin Durant,Bro,F,33.63,4,44,91.7,31.5,17.4,38,0.895,62,0.403,21,0.333,0.428,0.526,26.3,5.8,8.5,6.3,22.3,1,0.25,5.25,9,99.4,109.1
,Anthony Edwards,Min,G,20.78,6,37.8,78.8,26.4,10.7,34,0.824,53,0.509,57,0.404,0.559,0.604,25.2,4.2,6.1,3,14.8,1.17,1.17,2.5,7.2,113.8,107.7
,Kessler Edwards,Bro,F,21.77,2,3.6,7.5,6.4,100,0,0,0,0,0,0,,,0,0,0,0.5,17,0.5,0,0.5,0,,
,Joel Embiid,Phi,C-F,28.17,10,38.5,80.3,28.3,13.8,89,0.82,128,0.555,33,0.212,0.506,0.59,23.6,10.7,17,2.1,9.9,0.4,0.8,3.2,8.4,110,103.7
,Dorian Finney-Smith,Dal,F,29.03,13,37.8,78.8,12.8,7.6,16,0.875,32,0.5,83,0.422,0.596,0.619,11.6,5.4,8.3,2,8,1.15,0.38,0.77,5.3,127.2,104.7
,Malik Fitts,Bos,F,20,3,2,4.1,22.8,0,0,0,2,0.5,1,1,0.833,0.833,1.7,0.7,19.1,0,0,0,0,0,0,,
,Malachi Flynn,Tor,G,24.02,6,6.1,12.6,10.2,12.5,0,0,4,0,3,0,0,0,0,0.5,5.1,0.5,10.5,0.17,0,0.17,0,40.7,100.4
,Bryn Forbes,Den,G,28.81,5,15.3,31.8,10.9,10.4,5,0.8,4,0.5,11,0.364,0.533,0.581,4,0.6,2.4,1.4,12.3,0.2,0,0.4,3.9,120.8,110.3
,Danilo Gallinari,Atl,F,33.77,5,22.3,46.5,22.6,9.1,11,1,30,0.467,15,0.267,0.444,0.512,10.2,4.2,11.4,0.8,6.5,0.2,0,1,5.8,100.9,112.3
,Rudy Gobert,Uta,C,29.89,6,32.8,68.4,14.4,13.3,44,0.682,33,0.636,0,0,0.636,0.688,12,13.2,23.3,0.5,2.4,0.17,1,1.33,5.2,136.7,100.7
,Aaron Gordon,Den,F,26.66,5,32,66.8,20.2,10.8,28,0.714,39,0.513,15,0.2,0.454,0.52,13.8,7.2,13.9,2.6,12,0.4,1.2,1.6,8,114.4,108.5
,Devonte' Graham,Nor,G,27.23,6,10,20.9,18.3,15.7,8,0.875,4,0.25,14,0.357,0.472,0.558,4,1.5,8.8,0.7,9.3,0.17,0.17,0.67,6.5,107.7,112.6
,Danny Green,Phi,G,34.9,12,26.6,55.5,15.1,12.7,1,0,13,0.385,76,0.408,0.579,0.576,8.6,3.1,7.1,0.8,4.9,0.92,0.33,1.08,4.2,103.9,108.1
,Draymond Green,Gol,F,32.2,11,30.4,63.3,13.6,30.1,21,0.667,48,0.625,17,0.235,0.554,0.579,7.8,7.2,13,6.6,28.3,1,1.18,2.91,9.5,108.8,95.9
,Javonte Green,Chi,G-F,28.81,5,14.3,29.8,13.4,18.3,2,0.5,11,0.273,6,0,0.176,0.196,1.4,3,10.5,0.4,3.9,1.8,0,0.8,3.3,64.4,99.5
,JaMychal Green,Den,F-C,31.9,5,13.7,28.6,13.4,9.5,7,1,11,0.455,5,0.2,0.406,0.524,4,2.4,10.8,0.4,4,0,0.2,0.4,4.6,110.9,99.1
,Jeff Green,Den,F,35.72,5,22.7,47.3,8.1,9.4,5,0.8,9,0.333,8,0.375,0.441,0.495,3.8,3.6,9.8,0.4,2.3,0.6,0.4,0.4,3.1,113.1,111.8
,Josh Green,Dal,G,21.49,12,8.6,18,12.6,0,8,0.25,4,0.5,20,0.25,0.396,0.382,1.8,0.8,5.6,0.6,9.7,0.42,0,0,4.4,93.2,96.8
,Blake Griffin,Bro,F,33.17,2,12.8,26.6,16,11.3,2,1,2,0,5,0.4,0.429,0.508,4,2,10.2,2,21.2,0.5,0.5,0.5,7.9,121.8,105.8
,James Harden,Phi,G,32.72,12,39.9,83.1,23.7,20.7,75,0.893,82,0.439,76,0.368,0.494,0.584,18.6,5.7,8.7,8.6,34.8,0.75,0.75,4.17,9.7,111.4,109.4
,Tobias Harris,Phi,F,29.83,12,38.8,80.9,19.1,9.5,22,0.864,105,0.562,57,0.386,0.568,0.591,16.9,7.6,12,2.9,13,1.08,0.83,1.5,7.4,113.9,105.5
,Sam Hauser,Bos,F,24.44,2,2,4.1,21.6,0,2,1,0,0,1,0,0,0.532,1,0.5,14.4,0,0,0,0,0,0,,
,Jaxson Hayes,Nor,C-F,21.98,6,13.8,28.8,17.6,11.8,11,0.636,22,0.636,3,0,0.56,0.586,5.8,2.5,10.7,0.2,1.9,0,0.33,0.67,4.1,109.4,104
,Juancho Hernangomez,Uta,F,26.63,6,9.3,19.4,16.8,10,0,0,6,0.167,12,0.333,0.389,0.389,2.3,2,12.5,0.8,14,0.33,0,0.33,6.6,92.4,104.7
,Willy Hernangomez,Nor,C-F,27.97,1,1.9,4,90.6,0,0,0,3,0.333,1,0,0.25,0.25,2,2,62.1,0,0,0,0,0,0,,
,Tyler Herro,Mia,G,22.32,11,27.6,57.4,25,12.4,23,0.913,83,0.518,55,0.273,0.475,0.513,13.8,4.2,9.2,2.9,16.9,0.73,0.36,1.91,8,100.2,106.2
,Haywood Highsmith,Mia,F,25.43,5,3.7,7.6,17.1,28.6,0,0,1,0,4,0.75,0.9,0.9,1.8,0.2,3.3,0.4,16.8,0,0,0.4,5.7,,
,George Hill,Mil,G,36.03,5,15.3,31.8,3.9,14.5,2,1,3,0,2,0.5,0.3,0.425,1,1.2,4,0.6,5,0,0,0.2,2.3,103.7,103.7
,Aaron Holiday,Pho,G,25.62,6,3.3,6.8,33.7,0,1,0,7,0.429,7,0.714,0.75,0.727,3.5,0.5,8.9,1.5,101.2,0.5,0.17,0,16.7,,
,Jrue Holiday,Mil,G,31.93,12,38.6,80.4,26.4,12,31,0.839,156,0.41,79,0.316,0.432,0.461,19.1,5.6,7.4,6.5,27.6,1.75,0.58,2.83,9.2,97.7,107
,Al Horford,Bos,C-F,35.95,11,36.4,75.9,13.3,7.5,12,0.833,54,0.593,51,0.451,0.633,0.648,13,9.4,14.5,3.4,13.9,1.09,1.36,0.82,8.2,134.5,97.7
,Danuel House Jr.,Uta,F-G,28.94,6,18.6,38.8,13.2,19,8,0.75,12,0.583,10,0.2,0.455,0.509,4.3,2.8,8.9,0.7,5.5,0,0.17,1,4.4,93.7,109.1
,Kevin Huerter,Atl,G-F,23.72,5,30.7,64,17.9,18.4,4,0.75,16,0.5,31,0.29,0.457,0.472,9.2,3,5.9,3.8,20.4,1.2,0.6,2.2,6.1,92.1,107.7
,De'Andre Hunter,Atl,F-G,24.45,5,34.9,72.8,23.7,12.2,20,0.8,44,0.614,26,0.462,0.643,0.673,21.2,3.8,6.6,0.6,3.5,0.8,0.2,2.2,4.2,115.2,106.7
,Bones Hyland,Den,G,21.67,5,17.3,36.1,24.2,12.5,14,0.857,13,0.385,23,0.348,0.472,0.546,9.2,2,7.1,3.2,27.5,0.2,0,1.2,9,112.4,103.2
,Serge Ibaka,Mil,F,32.66,6,3.7,7.7,37,10.6,2,0.5,13,0.308,3,0,0.25,0.267,1.5,1.7,23.2,0,0,0,0,0.33,0,,
,Andre Iguodala,Gol,G-F,38.3,3,14.1,29.4,9.4,32.2,3,0.667,3,0.333,2,0,0.2,0.316,1.3,2.3,9.1,2.3,19.5,0,0.67,1,5.4,94.3,94.2
,Brandon Ingram,Nor,F,24.7,6,39.3,81.8,29.5,14.2,47,0.83,91,0.495,27,0.407,0.521,0.584,27,6.2,9.3,6.2,27.3,0.67,0.33,3.83,10.3,111.8,112.2
,Kyrie Irving,Bro,G,30.15,4,42.6,88.8,21.9,11.1,21,1,42,0.476,21,0.381,0.508,0.588,21.3,5.3,8,5.3,18.8,1.75,1.25,2.25,7.9,120.3,110
,Jaren Jackson Jr.,Mem,F-C,22.67,12,27.7,57.6,24.1,8.2,53,0.755,84,0.381,72,0.375,0.465,0.516,15.4,6.7,12.7,0.9,5.1,0.75,2.5,1.33,6.5,108,96.1
,Isaiah Joe,Phi,G,22.87,7,2.1,4.4,25.6,37.5,0,0,2,0.5,3,0.333,0.5,0.5,0.7,0.3,8.3,0,0,0,0,0.43,0,,
,Cameron Johnson,Pho,F,26.2,13,24.6,51.3,18,9.6,32,0.813,40,0.6,59,0.373,0.576,0.619,10.8,3.5,8.4,1.5,8.7,0.38,0.08,0.92,6.2,120.1,104.2
,Jalen Johnson,Atl,F,20.41,2,4.6,9.6,20,25,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,123.5
,Nikola Jokic,Den,C,27.24,5,34.2,71.3,36.8,16.6,33,0.848,88,0.636,18,0.278,0.599,0.643,31,13.2,23.9,5.8,36.5,1.6,1,4.8,15.6,116,98.4
,Derrick Jones Jr.,Chi,F,25.25,5,11.8,24.6,15.8,14.1,3,0.667,6,0.667,11,0.273,0.5,0.519,3.8,1.4,5.9,0.4,5.3,0.2,0,0.6,4.4,99.5,104.8
,Herbert Jones,Nor,F,23.61,6,37.7,78.5,11.7,13,22,0.773,32,0.5,12,0.417,0.534,0.596,10.7,3.3,5.2,1.8,6.8,1.83,0.83,1.33,4.2,117.9,106.9
,Tyus Jones,Mem,G,26.01,12,21.9,45.5,18.5,11,15,0.933,54,0.389,45,0.4,0.485,0.521,9.2,3.3,7.9,4.5,30.3,1.17,0.17,1.08,9.4,116.1,109.4
,DeAndre Jordan,Phi,C,33.82,3,10.2,21.3,10.7,28.6,0,0,5,1,0,0,1,1,3.3,2.3,14,0.3,5.5,0,0.67,0.67,5.2,133.1,100.4
,Maxi Kleber,Dal,F,30.29,13,25.4,53,14.2,10.1,20,0.7,21,0.714,59,0.492,0.731,0.738,10.1,4.5,10.2,1.1,6.7,0.15,0.69,0.77,5.8,134.6,102.7
,Kevin Knox II,Atl,F,22.76,2,4.6,9.6,74.4,20.2,2,1,1,1,10,0.6,0.909,0.926,11,1,13.1,0,0,1,0,1.5,0,1019.8,103.9
,John Konchar,Mem,G,26.15,8,7,14.5,9.5,7.8,2,1,5,0.4,6,0.167,0.318,0.379,1.1,2.4,18,0.6,11.6,0.38,0.13,0.13,6.7,104.4,94.8
,Furkan Korkmaz,Phi,G-F,24.81,9,6.8,14.2,19.8,7.7,2,1,13,0.538,10,0.4,0.565,0.586,3.1,1.3,11.9,0.4,11.3,0.11,0.11,0.22,6.9,113.1,101.8
,Luke Kornet,Bos,F-C,26.84,3,2,4.1,0,,0,0,0,0,0,0,,,0,0.3,9.5,0,0,0,0,0,0,,
,Jonathan Kuminga,Gol,F,19.61,9,11.3,23.5,25.3,15,16,0.75,34,0.676,10,0.2,0.591,0.627,7.1,1.9,9.2,0.7,9.4,0.22,0.22,1,7.5,109.3,104.6
,Zach LaVine,Chi,G-F,27.18,4,38.2,79.5,23.4,14.7,15,0.933,39,0.462,24,0.375,0.5,0.553,19.3,5.3,6.9,6,27.1,0.75,0.25,3,8.9,105.9,111.3
,Damion Lee,Gol,G-F,29.57,8,10.2,21.3,13.8,15.2,3,0.667,13,0.462,8,0.375,0.5,0.515,2.9,1.9,10.1,0.6,8,0.13,0,0.5,5.8,100.1,106.5
,Kevon Looney,Gol,F,26.27,11,16.2,33.7,10,14.5,8,0.5,32,0.625,0,0,0.625,0.619,4,6.4,21.6,1.5,12.6,0.36,0.18,0.55,8.3,137.9,92.7
,Brook Lopez,Mil,C,34.12,12,27.7,57.6,16.1,8.9,23,0.913,74,0.595,28,0.214,0.52,0.566,10.6,5.9,11,0.7,3.7,0.5,1.5,0.92,5.1,117.3,104.4
,Kyle Lowry,Mia,G,36.14,5,28.9,60.1,14.6,16.9,5,0.8,13,0.462,24,0.208,0.365,0.395,6.2,3.6,7.6,5.2,24.3,1,0.6,1.6,6.8,95,104
,Timothe Luwawu-Cabarrot,Atl,G-F,27.02,4,5.5,11.5,10.4,20,0,0,1,1,3,0.333,0.625,0.625,1.3,0.8,8.2,0.5,14.5,0,0,0.25,5.8,110.3,89.7
